,date,tavg,tmin,tmax,prcp,snow,wspd
389,2020-01-25,6.3,3.5,10.6,22.5,0.0,22.3
390,2020-01-26,5.5,2.4,8.7,0.0,0.0,18.4
391,2020-01-27,4.5,1.3,7.6,0.0,0.0,21.0
392,2020-01-28,4.9,3.0,7.2,0.0,0.0,22.4
393,2020-01-29,3.1,-1.6,5.7,0.0,0.0,19.3
394,2020-01-30,-0.2,-4.1,3.1,0.0,0.0,11.0
395,2020-01-31,2.9,-0.0,6.8,0.5,0.0,8.3
396,2020-02-01,4.4,2.5,6.3,0.4,0.0,6.5
397,2020-02-02,4.0,0.9,6.7,1.4,0.0,14.1
398,2020-02-03,6.9,2.3,13.6,0.0,0.0,12.6
399,2020-02-04,9.1,5.0,14.1,0.4,0.0,7.7
400,2020-02-05,6.7,4.2,11.3,0.3,0.0,14.9
401,2020-02-06,4.4,2.5,5.6,16.6,0.0,13.1
402,2020-02-07,5.6,0.8,13.6,7.1,0.0,26.5
403,2020-02-08,1.9,-1.1,5.6,0.0,0.0,19.5
404,2020-02-09,2.6,-1.3,7.5,0.0,0.0,13.9
405,2020-02-10,6.3,5.5,8.2,9.3,0.0,17.2
406,2020-02-11,7.4,6.5,9.5,7.8,0.0,10.0
407,2020-02-12,6.0,3.0,7.9,4.0,0.0,17.5
408,2020-02-13,4.5,2.5,6.7,7.3,0.0,10.1
409,2020-02-14,1.0,-7.3,4.3,0.0,0.0,23.2
410,2020-02-15,-5.3,-9.7,-0.7,0.0,0.0,14.9
411,2020-02-16,1.7,-1.4,7.5,0.0,0.0,12.1
412,2020-02-17,5.9,1.9,10.9,0.0,0.0,8.4
413,2020-02-18,5.8,3.2,9.0,0.0,0.0,14.2
414,2020-02-19,6.9,0.7,10.1,0.0,0.0,19.9
